"","Reference","year","month","Season","BAY_SEGMENT","TGTaxaScore","PelagicTaxaScore","LRScore","PropBenthicScore","NumGuildsScore","PropSelectScore","BenthicTaxaScore","NumTaxaScore","SelecTaxaScore","Cumul_Score"
"1","TBM1998101201","1998","10","Fall",1,10,10,0,5,5,7,4,4,7,58
"2","TBM1998101203","1998","10","Fall",1,10,10,0,8,5,10,6,5,9,70
"3","TBM1998101305","1998","10","Fall",1,10,10,5,4,5,8,7,5,7,68
"4","TBM1998101310","1998","10","Fall",1,10,10,0,5,10,10,4,4,6,66
"5","TBM1998101317","1998","10","Fall",1,10,10,0,8,5,10,7,5,10,72
"6","TBM1998110301","1998","11","Fall",1,10,10,0,7,5,5,4,4,6,57
"7","TBM1998110302","1998","11","Fall",1,10,10,2,9,5,6,5,5,7,66
"8","TBM1998110303","1998","11","Fall",1,10,10,1,3,10,2,6,6,9,63
"9","TBM1998110304","1998","11","Fall",1,10,10,0,7,5,1,7,6,4,56
"10","TBM1998110401","1998","11","Fall",1,10,10,1,9,5,3,3,2,3,51
"11","TBM1998110405","1998","11","Fall",1,10,10,0,10,0,10,3,1,1,50
"12","TBM1998110408","1998","11","Fall",1,10,10,0,10,0,10,2,1,3,51
"13","TBM1998110411","1998","11","Fall",1,10,10,0,7,5,8,4,4,6,60
"14","TBM1999101105","1999","10","Fall",1,10,10,0,8,5,2,3,3,4,50
"15","TBM1999101201","1999","10","Fall",1,10,10,0,7,5,0,2,2,3,43
"16","TBM1999101202","1999","10","Fall",1,10,10,0,8,5,5,7,5,4,60
"17","TBM1999101203","1999","10","Fall",1,10,10,0,7,5,6,7,6,6,63
"18","TBM1999110101","1999","11","Fall",1,10,10,0,10,0,0,3,2,1,40
"19","TBM1999110103","1999","11","Fall",1,10,10,0,4,5,5,3,4,6,52
"20","TBM1999110202","1999","11","Fall",1,10,10,0,5,0,3,0,1,1,33
"21","TBM1999110207","1999","11","Fall",1,10,10,0,8,0,3,1,1,1,38
"22","TBM1999110210","1999","11","Fall",1,10,10,0,10,5,9,5,4,7,67
"23","TBM1999110211","1999","11","Fall",1,10,10,0,6,5,7,4,4,6,58
"24","TBM2000100201","2000","10","Fall",1,10,10,0,9,5,4,8,6,9,68
"25","TBM2000100206","2000","10","Fall",1,10,10,0,6,5,5,7,7,7,63
"26","TBM2000100302","2000","10","Fall",1,10,10,1,8,5,5,7,5,7,64
"27","TBM2000100303","2000","10","Fall",1,10,10,0,4,5,3,6,5,6,54
"28","TBM2000100304","2000","10","Fall",1,10,10,0,7,5,2,8,7,6,61
"29","TBM2000110601","2000","11","Fall",1,10,10,0,10,5,2,5,4,4,56
"30","TBM2000110604","2000","11","Fall",1,10,10,0,5,10,1,6,7,7,62
"31","TBM2000111301","2000","11","Fall",1,10,10,0,9,5,1,3,5,6,54
"32","TBM2000111304","2000","11","Fall",1,10,10,0,10,5,0,3,1,0,43
"33","TBM2000111306","2000","11","Fall",1,10,10,0,7,5,1,3,4,4,49
"34","TBM2000111308","2000","11","Fall",1,10,10,0,6,5,1,2,3,3,44
"35","TBM2000111309","2000","11","Fall",1,10,10,0,9,0,3,3,2,1,42
"36","TBM2001100103","2001","10","Fall",1,10,10,2,8,5,3,5,5,4,58
"37","TBM2001101301","2001","10","Fall",1,10,10,0,9,5,3,7,5,7,62
"38","TBM2001101303","2001","10","Fall",1,10,10,0,8,5,6,9,8,10,73
"39","TBM2001101304","2001","10","Fall",1,10,10,0,6,5,6,3,3,4,52
"40","TBM2001101306","2001","10","Fall",1,10,10,0,9,10,1,6,7,7,67
"41","TBM2001111002","2001","11","Fall",1,10,10,1,9,10,1,6,5,4,62
"42","TBM2001111003","2001","11","Fall",1,10,10,0,10,5,0,2,2,3,47
"43","TBM2001111501","2001","11","Fall",1,10,10,0,8,5,2,3,3,3,49
"44","TBM2001111502","2001","11","Fall",1,10,10,0,0,0,0,0,0,0,22
"45","TBM2001111503","2001","11","Fall",1,10,10,0,0,0,0,0,0,0,22
"46","TBM2001111504","2001","11","Fall",1,10,10,0,4,5,3,3,2,3,44
"47","TBM2001111505","2001","11","Fall",1,10,10,0,0,0,0,0,0,0,22
"48","TBM2002100101","2002","10","Fall",1,10,10,4,4,5,0,3,4,3,48
"49","TBM2002100102","2002","10","Fall",1,10,10,0,10,5,0,8,6,4,59
"50","TBM2002100103","2002","10","Fall",1,10,10,1,4,10,7,6,6,4,64
"51","TBM2002100202","2002","10","Fall",1,10,10,0,0,10,0,1,2,0,37
"52","TBM2002100204","2002","10","Fall",1,10,10,0,6,10,7,5,4,9,68
"53","TBM2002100206","2002","10","Fall",1,10,10,3,10,5,2,9,8,9,73
"54","TBM2002111301","2002","11","Fall",1,10,10,0,9,10,0,10,8,6,70
"55","TBM2002111307","2002","11","Fall",1,10,10,5,10,10,1,10,10,10,84
"56","TBM2002111601","2002","11","Fall",1,10,10,0,10,5,5,4,2,3,54
"57","TBM2002111603","2002","11","Fall",1,10,10,0,4,5,3,0,1,1,38
"58","TBM2002111605","2002","11","Fall",1,10,10,0,7,5,2,3,4,4,50
"59","TBM2002111606","2002","11","Fall",1,10,10,0,0,10,0,1,3,3,41
"60","TBM2003100601","2003","10","Fall",1,10,10,0,2,0,10,2,1,3,42
"61","TBM2003100605","2003","10","Fall",1,10,10,1,9,5,1,2,1,1,44
"62","TBM2003100606","2003","10","Fall",1,10,10,0,9,5,9,5,4,7,66
"63","TBM2003100607","2003","10","Fall",1,10,10,1,8,10,1,8,7,9,71
"64","TBM2003101101","2003","10","Fall",1,10,10,0,8,10,3,6,6,7,67
"65","TBM2003101102","2003","10","Fall",1,10,10,2,8,10,4,8,7,10,77
"66","TBM2003111302","2003","11","Fall",1,10,10,0,9,5,4,7,6,9,67
"67","TBM2003111304","2003","11","Fall",1,10,10,0,9,10,9,7,6,10,79
"68","TBM2003111305","2003","11","Fall",1,10,10,0,9,5,5,8,5,7,66
"69","TBM2003111802","2003","11","Fall",1,10,10,0,7,5,5,2,1,3,48
"70","TBM2003111804","2003","11","Fall",1,10,10,0,0,0,0,0,0,0,22
"71","TBM2003111806","2003","11","Fall",1,10,10,0,6,10,6,3,4,7,62
"72","TBM2003111807","2003","11","Fall",1,10,10,0,3,10,2,5,5,7,58
"73","TBM2004100301","2004","10","Fall",1,10,10,0,5,0,10,0,0,3,42
"74","TBM2004100302","2004","10","Fall",1,10,10,0,9,5,3,3,2,3,50
"75","TBM2004101102","2004","10","Fall",1,10,10,0,7,0,10,2,2,6,52
"76","TBM2004101103","2004","10","Fall",1,10,10,0,9,5,6,3,2,6,57
"77","TBM2004101104","2004","10","Fall",1,10,10,0,5,0,6,0,0,1,36
"78","TBM2004110901","2004","11","Fall",1,10,10,0,6,5,6,6,4,9,62
"79","TBM2004110903","2004","11","Fall",1,10,10,0,2,0,0,1,1,0,27
"80","TBM2004111102","2004","11","Fall",1,10,10,0,7,5,3,1,1,1,42
"81","TBM2004111103","2004","11","Fall",1,10,10,0,2,5,9,3,2,1,47
"82","TBM2004111104","2004","11","Fall",1,10,10,0,7,0,3,0,0,1,34
"83","TBM2004111105","2004","11","Fall",1,10,10,0,4,5,10,1,1,3,49
"84","TBM2005100602","2005","10","Fall",1,10,10,0,0,0,1,1,1,4,30
"85","TBM2005100603","2005","10","Fall",1,10,10,0,8,5,5,4,4,3,54
"86","TBM2005100604","2005","10","Fall",1,10,10,0,10,0,6,1,0,1,42
"87","TBM2005100605","2005","10","Fall",1,10,10,0,3,5,1,1,4,3,41
"88","TBM2005100706","2005","10","Fall",1,10,10,0,1,5,2,3,4,6,46
"89","TBM2005101306","2005","10","Fall",1,10,10,3,10,5,0,4,4,3,54
"90","TBM2005110204","2005","11","Fall",1,10,10,0,3,10,4,8,8,7,67
"91","TBM2005110501","2005","11","Fall",1,10,10,0,7,10,3,8,8,4,67
"92","TBM2005110502","2005","11","Fall",1,10,10,0,8,10,3,3,2,1,52
"93","TBM2005110503","2005","11","Fall",1,10,10,0,6,5,4,5,4,4,53
"94","TBM2005110505","2005","11","Fall",1,10,10,0,0,0,10,0,1,3,38
"95","TBM2006100901","2006","10","Fall",1,10,10,0,6,10,6,3,4,6,61
"96","TBM2006100903","2006","10","Fall",1,10,10,0,7,0,4,4,4,3,47
"97","TBM2006100905","2006","10","Fall",1,10,10,0,2,5,2,5,4,6,49
"98","TBM2006100906","2006","10","Fall",1,10,10,0,5,10,0,3,5,1,49
"99","TBM2006101202","2006","10","Fall",1,10,10,0,10,5,0,6,6,4,57
"100","TBM2006101203","2006","10","Fall",1,10,10,0,9,10,1,10,10,9,77
"101","TBM2006110201","2006","11","Fall",1,10,10,0,5,10,4,7,8,7,68
"102","TBM2006110203","2006","11","Fall",1,10,10,0,0,5,0,4,5,3,41
"103","TBM2006110204","2006","11","Fall",1,10,10,0,7,5,3,3,3,3,49
