"","Reference","year","month","Season","BAY_SEGMENT","NumIndivScore","TGAbundScore","BenthicTaxaScore","ESAbundScore","NumGuildsScore","NumTaxaScore","LRScore","SelecIndivScore","SelecTaxaScore","ShannonScore","Cumul_Score"
"1","TBM1998100707","1998","10","Fall",1,10,10,7,1,10,9,3,5,3,7,65
"2","TBM1998101301","1998","10","Fall",1,10,10,6,2,10,8,0,6,10,6,68
"3","TBM1998101302","1998","10","Fall",1,10,10,0,0,0,0,0,0,3,0,23
"4","TBM1998101308","1998","10","Fall",1,10,10,10,10,10,10,10,10,10,1,91
"5","TBM1998101313","1998","10","Fall",1,10,10,3,0,7,4,0,1,3,8,46
"6","TBM1998101320","1998","10","Fall",1,10,10,5,3,10,5,0,2,8,1,54
"7","TBM1998110207","1998","11","Fall",1,10,10,8,1,10,8,10,6,10,9,82
"8","TBM1998110208","1998","11","Fall",1,10,10,1,5,7,1,0,0,3,0,37
"9","TBM1998110409","1998","11","Fall",1,10,10,4,3,7,6,0,0,5,1,46
"10","TBM1998110410","1998","11","Fall",1,10,10,9,1,10,9,0,10,5,10,74
"11","TBM1998110413","1998","11","Fall",1,10,10,5,0,7,6,0,0,8,10,56
"12","TBM1998110415","1998","11","Fall",1,10,10,10,10,10,10,0,10,10,6,86
"13","TBM1998110416","1998","11","Fall",1,10,10,2,0,10,3,0,0,5,8,48
"14","TBM1999100616","1999","10","Fall",1,10,10,7,1,10,7,0,0,5,3,53
"15","TBM1999100617","1999","10","Fall",1,10,10,7,1,10,7,10,2,8,6,71
"16","TBM1999100619","1999","10","Fall",1,10,10,6,1,10,6,0,3,5,7,58
"17","TBM1999100620","1999","10","Fall",1,10,10,9,6,10,10,0,10,10,7,82
"18","TBM1999100807","1999","10","Fall",1,10,10,9,10,10,10,10,2,5,1,77
"19","TBM1999101108","1999","10","Fall",1,10,10,7,0,10,8,0,1,5,10,61
"20","TBM1999101109","1999","10","Fall",1,10,10,1,0,3,1,0,0,3,3,31
"21","TBM1999110104","1999","11","Fall",1,10,10,3,2,10,3,0,3,3,3,47
"22","TBM1999110110","1999","11","Fall",1,10,10,8,10,10,9,0,3,5,0,65
"23","TBM1999110205","1999","11","Fall",1,10,10,7,0,10,7,0,3,8,10,65
"24","TBM1999110209","1999","11","Fall",1,10,10,0,0,3,1,0,0,0,3,27
"25","TBM1999111003","1999","11","Fall",1,10,10,5,0,7,5,0,1,5,9,52
"26","TBM1999111005","1999","11","Fall",1,10,10,5,0,10,5,0,1,8,8,57
"27","TBM1999111006","1999","11","Fall",1,10,10,2,0,7,2,0,0,5,7,43
"28","TBM1999111011","1999","11","Fall",1,10,10,9,2,7,9,0,7,10,8,72
"29","TBM2000100202","2000","10","Fall",1,10,10,10,1,10,10,10,9,5,9,84
"30","TBM2000100203","2000","10","Fall",1,10,10,3,0,7,3,0,1,8,7,49
"31","TBM2000100204","2000","10","Fall",1,10,10,2,0,0,1,0,0,0,4,27
"32","TBM2000100207","2000","10","Fall",1,10,10,2,0,3,2,0,1,3,5,36
"33","TBM2000100305","2000","10","Fall",1,10,10,2,10,7,3,0,5,3,0,50
"34","TBM2000100413","2000","10","Fall",1,10,10,10,2,10,10,0,10,10,10,82
"35","TBM2000100418","2000","10","Fall",1,10,10,1,0,3,1,0,0,0,5,30
"36","TBM2000110607","2000","11","Fall",1,10,10,7,2,10,7,0,10,5,6,67
"37","TBM2000110609","2000","11","Fall",1,10,10,1,0,0,1,0,0,0,3,25
"38","TBM2000110611","2000","11","Fall",1,10,10,7,1,10,7,0,10,8,8,71
"39","TBM2000112101","2000","11","Fall",1,10,10,1,1,7,1,0,0,3,2,35
"40","TBM2000112102","2000","11","Fall",1,10,10,4,10,10,6,0,0,3,2,55
"41","TBM2000112104","2000","11","Fall",1,10,10,8,0,7,8,0,0,8,7,58
"42","TBM2000112106","2000","11","Fall",1,10,10,5,0,10,5,0,2,5,8,55
"43","TBM2000112107","2000","11","Fall",1,10,10,5,4,10,5,0,1,10,0,55
"44","TBM2001100106","2001","10","Fall",1,10,10,8,1,10,7,0,8,10,8,72
"45","TBM2001100603","2001","10","Fall",1,10,10,5,0,10,5,10,0,5,10,65
"46","TBM2001100604","2001","10","Fall",1,10,10,2,0,7,3,0,0,3,9,44
"47","TBM2001100609","2001","10","Fall",1,10,10,0,0,0,0,0,0,0,0,20
"48","TBM2001101302","2001","10","Fall",1,10,10,4,3,10,7,0,4,8,3,59
"49","TBM2001101305","2001","10","Fall",1,10,10,0,0,3,1,0,0,0,0,24
"50","TBM2001101307","2001","10","Fall",1,10,10,1,0,3,1,0,0,0,3,28
"51","TBM2001111004","2001","11","Fall",1,10,10,8,0,10,7,10,2,10,9,76
"52","TBM2001111301","2001","11","Fall",1,10,10,3,0,3,3,0,0,3,4,36
"53","TBM2001111302","2001","11","Fall",1,10,10,8,0,10,8,0,1,8,10,65
"54","TBM2001111303","2001","11","Fall",1,10,10,4,0,7,3,0,1,5,8,48
