"","Reference","year","month","Season","BAY_SEGMENT","LRScore","PropESScore","PropFacScore","PropMSScore","PropSelectScore","PropTSScore","ESTaxaScore","SelecTaxaScore","Cumul_Score"
"1","TBM2005100502","2005","10","Fall",1,4,10,0,0,1,10,6,6,46
"2","TBM2005100504","2005","10","Fall",1,0,5,0,5,3,9,6,4,40
"3","TBM2005100505","2005","10","Fall",1,0,10,0,0,0,10,10,6,45
"4","TBM2005111206","2005","11","Fall",1,0,3,0,7,8,9,10,10,59
"5","TBM2005111207","2005","11","Fall",1,0,0,0,0,0,0,0,0,0
"6","TBM2005111208","2005","11","Fall",1,0,5,6,6,1,10,4,2,43
"7","TBM2006100104","2006","10","Fall",1,0,1,5,10,6,8,3,6,49
"8","TBM2006100105","2006","10","Fall",1,0,0,0,10,10,9,9,7,56
"9","TBM2006100107","2006","10","Fall",1,0,1,0,9,10,8,2,6,45
"10","TBM2006101106","2006","10","Fall",1,0,0,10,10,10,10,0,2,53
"11","TBM2006110601","2006","11","Fall",1,0,2,0,8,9,9,6,6,50
"12","TBM2006110603","2006","11","Fall",1,0,0,7,10,4,10,0,2,41
"13","TBM2006110604","2006","11","Fall",1,10,5,2,5,0,7,9,2,50
"14","TBM2006110605","2006","11","Fall",1,0,2,5,8,4,8,4,6,46
"15","TBM2007101101","2007","10","Fall",1,0,1,4,9,4,10,1,4,41
"16","TBM2007101102","2007","10","Fall",1,0,3,5,7,5,5,3,5,41
"17","TBM2007101103","2007","10","Fall",1,0,3,6,7,1,6,4,4,39
"18","TBM2007111101","2007","11","Fall",1,0,4,2,6,0,9,5,2,35
"19","TBM2007111102","2007","11","Fall",1,0,1,1,9,9,2,6,7,44
"20","TBM2007111103","2007","11","Fall",1,0,3,0,8,9,0,6,7,41
"21","TBM2008101001","2008","10","Fall",1,0,1,8,9,2,10,3,4,46
"22","TBM2008101002","2008","10","Fall",1,0,1,3,9,7,8,5,8,51
"23","TBM2008101003","2008","10","Fall",1,0,1,8,9,2,8,1,4,41
"24","TBM2008101004","2008","10","Fall",1,0,2,8,8,0,7,3,0,35
"25","TBM2008110101","2008","11","Fall",1,0,6,1,5,4,5,7,7,44
"26","TBM2008110102","2008","11","Fall",1,0,9,2,1,1,10,3,2,35
"27","TBM2008110105","2008","11","Fall",1,0,1,8,9,1,7,7,4,46
"28","TBM2009101102","2009","10","Fall",1,10,3,1,7,4,3,6,6,50
"29","TBM2009101104","2009","10","Fall",1,0,1,0,9,10,10,3,5,48
"30","TBM2009101107","2009","10","Fall",1,0,4,6,7,0,10,6,2,44
"31","TBM2009111103","2009","11","Fall",1,0,2,5,8,3,4,8,4,43
"32","TBM2009111104","2009","11","Fall",1,0,0,7,10,6,10,0,6,49
"33","TBM2009111107","2009","11","Fall",1,0,2,1,8,8,2,8,8,46
"34","TBM2010100103","2010","10","Fall",1,4,0,2,10,8,4,0,7,44
"35","TBM2010100104","2010","10","Fall",1,0,3,0,7,8,7,8,10,54
"36","TBM2010100108","2010","10","Fall",1,8,4,1,6,6,8,6,6,56
"37","TBM2010100603","2010","10","Fall",1,0,3,2,7,4,5,5,7,41
"38","TBM2010111403","2010","11","Fall",1,4,1,8,9,0,9,2,0,41
"39","TBM2010111407","2010","11","Fall",1,0,3,5,7,3,3,3,4,35
"40","TBM2010111408","2010","11","Fall",1,7,6,2,5,2,2,5,4,41
"41","TBM2011100101","2011","10","Fall",1,0,1,0,9,10,9,10,10,61
"42","TBM2011100102","2011","10","Fall",1,10,2,1,8,7,4,3,10,56
"43","TBM2011100104","2011","10","Fall",1,8,1,8,9,1,8,3,6,55
"44","TBM2011110705","2011","11","Fall",1,10,2,2,8,0,0,3,2,34
"45","TBM2011111004","2011","11","Fall",1,0,3,0,7,7,5,10,7,49
"46","TBM2011111006","2011","11","Fall",1,0,3,4,7,5,1,6,9,44
"47","TBM2011111008","2011","11","Fall",1,0,0,10,10,0,10,0,0,38
"48","TBM2012101207","2012","10","Fall",1,0,0,10,10,0,10,0,0,38
"49","TBM2012101601","2012","10","Fall",1,0,5,1,5,5,8,4,4,40
"50","TBM2012101602","2012","10","Fall",1,0,9,0,2,0,10,9,4,43
"51","TBM2012101605","2012","10","Fall",1,0,4,6,6,7,8,8,5,55
"52","TBM2012110402","2012","11","Fall",1,4,2,5,8,4,6,2,4,44
"53","TBM2012110405","2012","11","Fall",1,0,10,0,0,0,10,3,8,39
"54","TBM2012110408","2012","11","Fall",1,0,6,5,5,0,10,2,0,35
"55","TBM2012110410","2012","11","Fall",1,0,2,9,8,6,10,1,4,50
"56","TBM2012110608","2012","11","Fall",1,0,10,0,1,1,9,10,10,51
"57","TBM2013100401","2013","10","Fall",1,0,3,3,7,5,6,3,5,40
"58","TBM2013100402","2013","10","Fall",1,0,6,1,5,5,6,6,7,45
"59","TBM2013100403","2013","10","Fall",1,0,8,0,3,3,7,10,8,49
"60","TBM2013100410","2013","10","Fall",1,0,2,3,8,6,4,1,6,38
"61","TBM2013110603","2013","11","Fall",1,0,7,2,3,2,10,5,2,39
"62","TBM2013110604","2013","11","Fall",1,0,10,0,1,1,10,4,5,39
"63","TBM2013110607","2013","11","Fall",1,0,10,0,0,0,10,9,6,44
"64","TBM2013111204","2013","11","Fall",1,0,2,6,8,6,10,3,6,51
"65","TBM2014101101","2014","10","Fall",1,0,1,8,9,0,10,1,0,36
"66","TBM2014101102","2014","10","Fall",1,4,5,0,6,0,10,3,0,35
"67","TBM2014101104","2014","10","Fall",1,0,8,2,2,1,7,4,4,35
"68","TBM2014101107","2014","10","Fall",1,0,0,10,10,0,10,0,0,38
"69","TBM2014111204","2014","11","Fall",1,0,3,3,7,6,0,1,4,30
"70","TBM2014111206","2014","11","Fall",1,0,4,5,6,2,10,2,2,39
"71","TBM2014111208","2014","11","Fall",1,0,5,2,5,2,7,10,8,49
"72","TBM2015100203","2015","10","Fall",1,0,6,5,5,6,10,1,2,44
"73","TBM2015100206","2015","10","Fall",1,0,8,0,3,4,9,10,7,51
"74","TBM2015100208","2015","10","Fall",1,0,3,0,7,9,3,7,7,45
"75","TBM2015100505","2015","10","Fall",1,0,1,8,9,1,7,2,2,38
"76","TBM2015100506","2015","10","Fall",1,3,3,5,7,4,9,3,5,49
"77","TBM2015110703","2015","11","Fall",1,0,1,9,9,3,10,3,2,46
"78","TBM2015110706","2015","11","Fall",1,0,2,0,8,5,7,3,6,39
"79","TBM2015110707","2015","11","Fall",1,0,2,5,8,3,10,5,6,49
"80","TBM2015111107","2015","11","Fall",1,0,9,0,1,2,10,10,7,49
"81","TBM2005040901","2005","04","Spring",1,0,9,1,1,9,0,2,2,30
"82","TBM2005040902","2005","04","Spring",1,0,9,3,1,7,2,2,2,33
"83","TBM2005040904","2005","04","Spring",1,0,10,0,0,4,5,4,2,31
"84","TBM2005040908","2005","04","Spring",1,0,0,6,10,0,10,0,0,33
"85","TBM2005051002","2005","05","Spring",1,0,9,0,1,8,1,7,6,40
"86","TBM2005051005","2005","05","Spring",1,0,5,4,5,5,4,2,2,34
"87","TBM2005051007","2005","05","Spring",1,0,3,3,7,0,10,2,0,31
"88","TBM2005051008","2005","05","Spring",1,0,0,8,10,7,7,0,2,43
"89","TBM2005051009","2005","05","Spring",1,0,4,2,5,0,10,1,0,28
"90","TBM2006040804","2006","04","Spring",1,0,8,3,2,6,3,2,2,33
"91","TBM2006040805","2006","04","Spring",1,0,10,0,0,1,10,9,6,45
"92","TBM2006040806","2006","04","Spring",1,0,9,0,1,2,8,7,8,44
"93","TBM2006050203","2006","05","Spring",1,0,6,6,4,2,8,8,2,45
"94","TBM2006050204","2006","05","Spring",1,0,7,3,3,3,9,8,4,46
"95","TBM2006050205","2006","05","Spring",1,1,3,0,7,5,6,4,4,38
"96","TBM2007040302","2007","04","Spring",1,0,8,3,2,5,6,9,6,49
"97","TBM2007040303","2007","04","Spring",1,0,6,3,4,5,3,3,4,35
"98","TBM2007040304","2007","04","Spring",1,2,10,0,0,8,0,10,10,50
"99","TBM2007040507","2007","04","Spring",1,0,2,7,8,5,10,4,2,48
